    1000       0.00095       0.00001
    2000     100.00204       0.50001
    3000     300.01111       1.00004
    4000     600.02631       1.50007
    5000    1000.04761       2.00010
    6000    1500.04810       2.50008
    7000    2100.02417       3.00003
    8000    2799.97583       3.49997
    9000    3599.90332       3.99989
   10000    4499.80615       4.49981
   11000    5499.68457       4.99971
   12000    6599.53857       5.49962
   13000    7799.36816       5.99951
   14000    9099.17383       6.49941
   15000   10498.95508       6.99930
   16000   11998.71191       7.49920
   17000   13598.44434       7.99908
   18000   15298.15234       8.49897
   19000   17097.83594       8.99886
   20000   18997.49414       9.49875
   21000   20997.19141       9.99866
   22000   23096.98633      10.49863
   23000   25296.87891      10.99864
   24000   27596.86914      11.49870
   25000   29996.95703      11.99878
   26000   32497.14453      12.49890
   27000   35097.42969      12.99905
   28000   37797.81250      13.49922
   29000   40598.29297      13.99941
   30000   43498.87109      14.49962
   31000   46499.54688      14.99985
   32000   49600.32031      15.50010
   33000   52801.19141      16.00036
   34000   56102.16016      16.50064
   35000   59503.22656      17.00092
   36000   63004.39062      17.50122
   37000   66605.64844      18.00153
   38000   70307.00781      18.50184
   39000   74108.46094      19.00217
   40000   78010.01562      19.50250
   41000   82011.66406      20.00285
   42000   86113.41406      20.50319
   43000   90315.25781      21.00355
   44000   94617.20312      21.50391
   45000   99019.24219      22.00428
   46000  103521.38281      22.50465
   47000  108123.61719      23.00503
   48000  112825.95312      23.50541
   49000  117628.38281      24.00579
   50000  122530.91406      24.50618
   51000  127533.54688      25.00658
   52000  132636.26562      25.50697
   53000  137839.09375      26.00738
   54000  143142.01562      26.50778
   55000  148545.03125      27.00819
   56000  154048.14062      27.50860
   57000  159651.35938      28.00901
   58000  165354.67188      28.50943
   59000  171158.07812      29.00984
   60000  177061.57812      29.51026
   61000  183065.18750      30.01069
   62000  189168.89062      30.51111
   63000  195372.68750      31.01154
   64000  201676.57812      31.51196
   65000  208080.57812      32.01240
   66000  214584.67188      32.51283
   67000  221188.85938      33.01326
   68000  227893.14062      33.51370
   69000  234697.53125      34.01413
   70000  241602.01562      34.51457
   71000  248606.59375      35.01501
   72000  255711.28125      35.51546
   73000  262916.06250      36.01590
   74000  270220.93750      36.51634
   75000  277625.90625      37.01679
   76000  285130.96875      37.51723
   77000  292736.12500      38.01768
   78000  300441.37500      38.51812
   79000  308246.75000      39.01858
   80000  316152.21875      39.51903
   81000  324157.78125      40.01948
   82000  332263.37500      40.51992
   83000  340468.56250      41.02031
   84000  348773.37500      41.52064
   85000  357177.78125      42.02092
   86000  365681.81250      42.52114
   87000  374285.43750      43.02132
