    1000       0.00095       0.00001
    2000       0.00301       0.00002
    3000       0.00909       0.00003
    4000       0.01520       0.00004
    5000       0.02130       0.00004
    6000       0.00055       0.00000
    7000       0.02386       0.00003
    8000       0.04828       0.00006
    9000       0.07269       0.00008
   10000       0.09711       0.00010
   11000       0.12146       0.00011
   12000       0.14587       0.00012
   13000       0.17029       0.00013
   14000       0.19470       0.00014
   15000       0.21912       0.00015
   16000       0.24353       0.00015
   17000       0.26794       0.00016
   18000       0.29236       0.00016
   19000       0.31677       0.00017
   20000       0.34119       0.00017
   21000       0.30249       0.00014
   22000       0.20483       0.00009
   23000       0.10718       0.00005
   24000       0.00952       0.00000
   25000       0.08813       0.00004
   26000       0.18579       0.00007
   27000       0.28345       0.00010
   28000       0.38110       0.00014
   29000       0.47876       0.00017
   30000       0.57642       0.00019
   31000       0.67407       0.00022
   32000       0.77173       0.00024
   33000       0.86938       0.00026
   34000       0.96704       0.00028
   35000       1.06470       0.00030
   36000       1.16235       0.00032
   37000       1.26001       0.00034
   38000       1.35767       0.00036
   39000       1.45532       0.00037
   40000       1.55298       0.00039
   41000       1.65039       0.00040
   42000       1.74805       0.00042
   43000       1.84570       0.00043
   44000       1.94336       0.00044
   45000       2.04102       0.00045
   46000       2.13867       0.00046
   47000       2.23633       0.00048
   48000       2.33398       0.00049
   49000       2.43164       0.00050
   50000       2.52930       0.00051
   51000       2.62695       0.00052
   52000       2.72461       0.00052
   53000       2.82227       0.00053
   54000       2.91992       0.00054
   55000       3.01758       0.00055
   56000       3.11523       0.00056
   57000       3.21289       0.00056
   58000       3.31055       0.00057
   59000       3.40820       0.00058
   60000       3.50586       0.00058
   61000       3.60352       0.00059
   62000       3.70117       0.00060
   63000       3.79883       0.00060
   64000       3.89648       0.00061
   65000       3.99414       0.00061
   66000       4.09180       0.00062
   67000       4.18945       0.00063
   68000       4.28711       0.00063
   69000       4.38477       0.00064
   70000       4.48242       0.00064
   71000       4.58008       0.00065
   72000       4.67773       0.00065
   73000       4.77539       0.00065
   74000       4.87305       0.00066
   75000       4.97070       0.00066
   76000       5.06836       0.00067
   77000       5.16602       0.00067
   78000       5.26367       0.00067
   79000       5.36133       0.00068
   80000       5.45898       0.00068
   81000       5.55664       0.00069
   82000       5.58789       0.00068
   83000       5.19727       0.00063
   84000       4.80664       0.00057
   85000       4.41602       0.00052
   86000       4.02539       0.00047
   87000       3.63477       0.00042
   88000       3.24414       0.00037
   89000       2.85352       0.00032
   90000       2.46289       0.00027
   91000       2.07227       0.00023
   92000       1.68164       0.00018
   93000       1.29102       0.00014
   94000       0.90039       0.00010
   95000       0.50977       0.00005
   96000       0.11914       0.00001
   97000       0.27148       0.00003
   98000       0.66211       0.00007
   99000       1.05273       0.00011
  100000       1.44336       0.00014
  101000       1.83398       0.00018
  102000       2.22461       0.00022
  103000       2.61523       0.00025
  104000       3.00586       0.00029
  105000       3.39648       0.00032
  106000       3.78711       0.00036
  107000       4.17773       0.00039
  108000       4.56836       0.00042
  109000       4.95898       0.00045
  110000       5.34961       0.00049
  111000       5.74023       0.00052
  112000       6.13086       0.00055
  113000       6.52148       0.00058
  114000       6.91211       0.00061
  115000       7.30273       0.00064
  116000       7.69336       0.00066
  117000       8.08398       0.00069
  118000       8.47461       0.00072
  119000       8.86523       0.00074
  120000       9.25586       0.00077
  121000       9.64648       0.00080
  122000      10.03711       0.00082
  123000      10.42773       0.00085
  124000      10.81836       0.00087
  125000      11.20898       0.00090
  126000      11.59961       0.00092
  127000      11.99023       0.00094
  128000      12.38086       0.00097
  129000      12.77148       0.00099
  130000      13.16211       0.00101
  131000      13.55273       0.00103
  132000      13.94336       0.00106
  133000      14.33398       0.00108
  134000      14.72461       0.00110
  135000      15.11523       0.00112
  136000      15.50586       0.00114
  137000      15.89648       0.00116
  138000      16.28711       0.00118
  139000      16.67773       0.00120
  140000      17.06836       0.00122
  141000      17.45898       0.00124
  142000      17.84961       0.00126
  143000      18.24023       0.00128
  144000      18.63086       0.00129
  145000      19.02148       0.00131
  146000      19.41211       0.00133
  147000      19.80273       0.00135
